SITE_NO,SITE_NAME,SITE_NOM_FR,SITE_TYPE,SITE_DESC,SITE_DESC_FR,LATITUDE,LONGITUDE,DATUM,PROV_TERR,PROV_TERR_FR,PEARSEDA,PEARSEDA_FR,OCEANDA,OCEANDA_FR,DATA_URL,DATA_URL_FR,OPEN_DATA_URL
"00BR01AP0241","KENNEBECASIS RIVER ABOVE BLOOMFIELD BRIDGE","RIVIÈRE KENNEBECASIS EN AMONT DU PONT BLOOMFIELD","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","45.5801","-65.7567","NAD83","N.B.","N.-B.","SAINT JOHN - ST. CROIX","SAINT-JEAN - SAINTE-CROIX","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/EN/SAMPLINGLOCATION/DETAILS/10945","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/FR/LIEUÉCHANTILLONNAGE/MONTRER/10945","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-JOHN-RIVER-AND-ST.-CROIX-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-STJOHN-STCROIX-2000-PRESENT.CSV"
"00BR01AQ0003","LEPREAU RIVER ABOVE BRIDGE, ROUTE 780","RIVIÈRE LEPREAU EN AMONT DU PONT, ROUTE 780","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","45.1697","-66.468","NAD83","N.B.","N.-B.","SAINT JOHN - ST. CROIX","SAINT-JEAN - SAINTE-CROIX","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/EN/SAMPLINGLOCATION/DETAILS/805","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/FR/LIEUÉCHANTILLONNAGE/MONTRER/805","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-JOHN-RIVER-AND-ST.-CROIX-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-STJOHN-STCROIX-2000-PRESENT.CSV"
"00BR01AR0092","ST. CROIX RIVER ABOVE MILLTOWN BRIDGE, ROUTE 170","RIVIÈRE SAINTE-CROIX EN AMONT DU PONT DE MILLTOWN, ROUTE 170","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","45.17","-67.297","NAD83","N.B.","N.-B.","SAINT JOHN - ST. CROIX","SAINT-JEAN - SAINTE-CROIX","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/EN/SAMPLINGLOCATION/DETAILS/210","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/FR/LIEUÉCHANTILLONNAGE/MONTRER/210","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-JOHN-RIVER-AND-ST.-CROIX-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-STJOHN-STCROIX-2000-PRESENT.CSV"
"00BR01BA0030","RESTIGOUCHE RIVER BELOW MONTGOMERY BRIDGE, RTE 265","RIVIÈRE RESTIGOUCHE EN AVAL DU PONT MONTGOMERY, ROUTE 265","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","47.6623","-67.4929","NAD83","N.B.","N.-B.","MARITIME COASTAL","CÔTE DES PROVINCES MARITIMES","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/EN/SAMPLINGLOCATION/DETAILS/422","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/FR/LIEUÉCHANTILLONNAGE/MONTRER/422","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/MARITIME-COASTAL-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-MARITIME-2000-PRESENT.CSV"
"00BR01BO0007","SOUTHWEST MIRAMICHI RIVER BELOW QUARRYVILLE BRIDGE, RTE 108","RIVIÈRE MIRAMICHI SUD-OUEST EN AVAL DU PONT DE QUARRYVILLE, ROUTE 108","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","46.8279","-65.7858","NAD83","N.B.","N.-B.","MARITIME COASTAL","CÔTE DES PROVINCES MARITIMES","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/EN/SAMPLINGLOCATION/DETAILS/221","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/FR/LIEUÉCHANTILLONNAGE/MONTRER/221","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/MARITIME-COASTAL-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-MARITIME-2000-PRESENT.CSV"
"00BR01BU0176","PETITCODIAC RIVER ABOVE SALISBURY BRIDGE, RTE 112","RIVIÈRE PETITCODIAC EN AMONT DU PONT DE SALISBURY, ROUTE 112","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","46.0212","-65.0346","NAD83","N.B.","N.-B.","MARITIME COASTAL","CÔTE DES PROVINCES MARITIMES","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/EN/SAMPLINGLOCATION/DETAILS/8194","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/FR/LIEUÉCHANTILLONNAGE/MONTRER/8194","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/MARITIME-COASTAL-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-MARITIME-2000-PRESENT.CSV"
"02330001","ETCHEMIN RIVER AT BRIDGE - RTE 132 IN ST-ROMUALD","RIVIÈRE ETCHEMIN AU PONT-ROUTE 132 À SAINT-ROMUALD","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","46.7601","-71.2282","NAD83","QUE.","QC","ST. LAWRENCE","SAINT-LAURENT","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","HTTP://WWW.MDDELCC.GOUV.QC.CA/EAU/ATLAS_INTERACTIF/CONV/02330001.XLSX","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-LAWRENCE-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-ST-LAWRENCE-ST-LAURENT-2000-PRESENT.CSV"
"02340033","CHAUDIÈRE RIVER AT CHARNY WATER INTAKE - 5.6 KM FROM THE MOUTH OF THE RIVER (METALS : 02340037)","RIVIÈRE CHAUDIÈRE À LA PRISE D'EAU DE CHARNY À 5,6 KM DE L'EMBOUCHURE (MÉTAUX : 02340037)","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","46.702","-71.2808","NAD83","QUE.","QC","ST. LAWRENCE","SAINT-LAURENT","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","HTTP://WWW.MDDELCC.GOUV.QC.CA/EAU/ATLAS_INTERACTIF/CONV/02340033.XLSX","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-LAWRENCE-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-ST-LAWRENCE-ST-LAURENT-2000-PRESENT.CSV"
"02400004","BÉCANCOUR RIVER AT THE BRIDGE - RTE 132 AT BECANCOUR","RIVIÈRE BÉCANCOUR AU PONT-ROUTE 132 À BÉCANCOUR","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","46.3527","-72.4391","NAD83","QUE.","QC","ST. LAWRENCE","SAINT-LAURENT","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","HTTP://WWW.MDDELCC.GOUV.QC.CA/EAU/ATLAS_INTERACTIF/CONV/02400004.XLSX","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-LAWRENCE-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-ST-LAWRENCE-ST-LAURENT-2000-PRESENT.CSV"
"03020073","MAGOG RIVER AT MERRY BRIDGE, AT THE MEMPHREMAGOG LAKE DISCHARGE - 32.7 KM FROM THE MOUTH","RIVIÈRE MAGOG AU PONT MERRY, À LA DÉCHARGE DU LAC MEMPHREMAGOG À 32,7 KM DE L'EMBOUCHURE","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","45.2641","-72.1578","NAD83","QUE.","QC","ST. LAWRENCE","SAINT-LAURENT","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","HTTP://WWW.MDDELCC.GOUV.QC.CA/EAU/ATLAS_INTERACTIF/CONV/03020073.XLSX","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-LAWRENCE-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-ST-LAWRENCE-ST-LAURENT-2000-PRESENT.CSV"
"03020333","COATICOOK RIVER, RTE 108 APPROX. 150M FROM THE INTERSECTION WITH RTE 143","RIVIÈRE COATICOOK, ROUTE 108 ENVIRON 150M DE L'INTERSECTION AVEC LA ROUTE 143","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","45.3192","-71.8872","NAD83","QUE.","QC","ST. LAWRENCE","SAINT-LAURENT","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","HTTP://WWW.MDDELCC.GOUV.QC.CA/EAU/ATLAS_INTERACTIF/CONV/03020333.XLSX","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-LAWRENCE-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-ST-LAWRENCE-ST-LAURENT-2000-PRESENT.CSV"
"03040010","RICHELIEU RIVER AT FRYER DAM NORTH OF ST-JEAN-SUR-RICHELIEU","RIVIÈRE RICHELIEU AU BARRAGE FRYER AU NORD DE SAINT-JEAN-SUR-RICHELIEU","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","45.396","-73.2538","NAD83","QUE.","QC","ST. LAWRENCE","SAINT-LAURENT","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","HTTP://WWW.MDDELCC.GOUV.QC.CA/EAU/ATLAS_INTERACTIF/CONV/03040010.XLSX","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-LAWRENCE-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-ST-LAWRENCE-ST-LAURENT-2000-PRESENT.CSV"
"03040012","RICHELIEU RIVER AT C.N. BRIDGE EAST OF LACOLLE","RIVIÈRE RICHELIEU AU PONT DU C.N. À L'EST DE LACOLLE","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","45.0614","-73.3326","NAD83","QUE.","QC","ST. LAWRENCE","SAINT-LAURENT","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","HTTP://WWW.MDDELCC.GOUV.QC.CA/EAU/ATLAS_INTERACTIF/CONV/03040012.XLSX","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-LAWRENCE-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-ST-LAWRENCE-ST-LAURENT-2000-PRESENT.CSV"
"03040015","AUX BROCHETS RIVER AT BRIDGE - RTE 133 AT PIKE RIVER","RIVIÈRE AUX BROCHETS AU PONT-ROUTE 133 À PIKE RIVER","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","45.1234","-73.0695","NAD83","QUE.","QC","ST. LAWRENCE","SAINT-LAURENT","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","HTTP://WWW.MDDELCC.GOUV.QC.CA/EAU/ATLAS_INTERACTIF/CONV/03040015.XLSX","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-LAWRENCE-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-ST-LAWRENCE-ST-LAURENT-2000-PRESENT.CSV"
"03090001","CHÂTEAUGUAY RIVER AT BRIDGE - RTE 205 NORTH OF SAINTE-MARTINE","RIVIÈRE CHÂTEAUGUAY AU PONT-ROUTE 205 AU NORD DE SAINTE-MARTINE","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","45.286","-73.8023","NAD83","QUE.","QC","ST. LAWRENCE","SAINT-LAURENT","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","HTTP://WWW.MDDELCC.GOUV.QC.CA/EAU/ATLAS_INTERACTIF/CONV/03090001.XLSX","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-LAWRENCE-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-ST-LAWRENCE-ST-LAURENT-2000-PRESENT.CSV"
"03090005","CHÂTEAUGUAY RIVER AT 1.6KM BELOW POWERSCOURT BRIDGE","RIVIÈRE CHÂTEAUGUAY À 1,6 KM EN AVAL DU PONT DE POWERSCOURT","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","45.0183","-74.1658","NAD83","QUE.","QC","ST. LAWRENCE","SAINT-LAURENT","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","HTTP://WWW.MDDELCC.GOUV.QC.CA/EAU/ATLAS_INTERACTIF/CONV/03090005.XLSX","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-LAWRENCE-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-ST-LAWRENCE-ST-LAURENT-2000-PRESENT.CSV"
"03090009","TROUT RIVER AT KENSINGTON (GAVIN BRIDGE)","RIVIÈRE TROUT À KENSINGTON (PONT GAVIN)","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","45.0143","-74.3029","NAD83","QUE.","QC","ST. LAWRENCE","SAINT-LAURENT","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","HTTP://WWW.MDDELCC.GOUV.QC.CA/EAU/ATLAS_INTERACTIF/CONV/03090009.XLSX","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-LAWRENCE-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-ST-LAWRENCE-ST-LAURENT-2000-PRESENT.CSV"
"03090047","DES ANGLAIS RIVER 0.1 KM BELOW U.S. BORDER NEAR HEMMINGFORD","RIVIÈRE DES ANGLAIS À 0,1 KM EN AVAL DE LA FRONTIÈRE DES U.S.A. PRÈS DE HEMMINGFORD","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","45.0035","-73.6534","NAD83","QUE.","QC","ST. LAWRENCE","SAINT-LAURENT","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","HTTP://WWW.MDDELCC.GOUV.QC.CA/EAU/ATLAS_INTERACTIF/CONV/03090047.XLSX","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-LAWRENCE-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-ST-LAWRENCE-ST-LAURENT-2000-PRESENT.CSV"
